# VietSentiWordNet v1.0.0 (1 June 2011)
# Copyright 2010 ISTI-CNR.
# All right reserved.
#
# VietSentiWordNet is distributed under the GNU publish licence
# http://www.gnu.org/licenses/gpl.html
#
# For any information about VietSentiWordNet:
# Web: https://sourceforge.net/projects/vietsentiwordne/
# -------
#
# Data format.
#
# VietSentiWordNet v1.0 is based on SentiWordNet version 3.0.
# SentiWordNet website: http://sentiwordnet.isti.cnr.it/
# The values PosScore and NegScore are the positivity and negativity
# score assigned by SentiWordNet to the synset.
# The objectivity score can be calculated as:
# ObjScore = 1 - (PosScore + NegScore)
# SynsetTerms column reports the terms, with sense number, belonging
# to the synset (separated by spaces).
# POS	ID	PosScore	NegScore	SynsetTerms	Gloss
a	00166146	0.875	0	hấp_dẫn#1	thích nhìn, say mê vẻ đẹp; "quần áo hấp dẫn"; "mô tả quyển sách vở hình minh họa hấp dấn"
a	00362467	0.75	0	vui_vẻ#1	một tinh thần tốt, thể hiện tâm trạng rất vui ; "tính vui vẻ của cô ấy"; "một lời chào vui vẻ"; "một căn phòng vui vẻ"
a	00015589	0.125	0.375	dài#9	có hoặc đang được nhiều hơn mức bình thường hoặc cần thiết; "cái quần dài"
a	00015854	0	0.25	phong_phú#1	có một số lượng lớn; "tê giác đã từng phong phú ở đây"
a	00016247	0.125	0.5	thừa_thãi#1	có rất nhiều; "nước thừa thãi"
a	00016756	0	0.25	khan_hiếm#1	thiếu số lượng so với yêu cầu; "rau xanh khan hiếm trong thời điểm hạn hán"
a	00017782	0.625	0	chấp_nhận#1	đồng ý nhận (điều người khác yêu cầu hoặc đề ra) ; "mức bức xạ chấp nhận được"
a	00021766	0.5	0	chính_xác#1	phù hợp hoặc gần đúng với thực tế hoặc một tiêu chuần..; "số đo chính xác"; "một quy mô chính xác"
a	00167278	0.5	0	dễ_thương#1	gây được tình cảm mến thương ở người khác ; "một con bé dễ thương"
a	00035779	0.25	0.125	nhanh#3	có tốc độ, nhịp độ trên mức bình thường; "xe chạy nhanh"
a	00049016	0.5	0	hoàn_chỉnh#1	có đầy đủ tất cả các bộ phận cấu thành cần thiết; "một bộ máy hoàn chỉnh"
a	00050446	0.125	0.625	giản_lược#1	rút gọn hoặc giảm bớt; "trình bày một cách giản lược"
